Unnamed: 0_no_transform,tenure_no_transform,MonthlyCharges_no_transform
255.0,67.0,59.54999923706055
256.0,61.0,115.0999984741211
257.0,50.0,114.3499984741211
258.0,2.0,44.59999847412109
259.0,29.0,45.0
260.0,3.0,41.150001525878906
261.0,13.0,106.9000015258789
262.0,57.0,89.8499984741211
263.0,31.0,49.84999847412109
264.0,45.0,113.3000030517578
265.0,61.0,88.0999984741211
266.0,50.0,24.899999618530277
267.0,19.0,105.0
268.0,59.0,19.350000381469727
269.0,71.0,24.25
270.0,16.0,94.4499969482422
271.0,57.0,59.75
272.0,1.0,24.799999237060547
273.0,20.0,107.0500030517578
274.0,1.0,70.5999984741211
275.0,5.0,85.4000015258789
276.0,52.0,105.0500030517578
277.0,21.0,64.94999694824219
278.0,14.0,55.0
279.0,5.0,50.54999923706055
280.0,6.0,55.150001525878906
281.0,10.0,51.20000076293945
282.0,1.0,25.399999618530277
283.0,68.0,54.45000076293945
284.0,18.0,95.1500015258789
285.0,22.0,76.0
286.0,20.0,44.34999847412109
287.0,1.0,70.0
288.0,8.0,74.5
289.0,10.0,44.84999847412109
290.0,24.0,76.0999984741211
291.0,35.0,61.20000076293945
292.0,23.0,86.80000305175781
293.0,6.0,89.3499984741211
294.0,12.0,19.700000762939453
295.0,1.0,20.25
296.0,71.0,76.05000305175781
297.0,35.0,100.8000030517578
298.0,40.0,74.55000305175781
299.0,1.0,73.5999984741211
300.0,23.0,64.9000015258789
301.0,4.0,95.4499969482422
302.0,4.0,90.4000015258789
303.0,68.0,60.29999923706055
304.0,38.0,81.8499984741211
305.0,52.0,24.799999237060547
306.0,32.0,74.9000015258789
307.0,29.0,75.55000305175781
308.0,38.0,101.1500015258789
309.0,48.0,78.75
310.0,1.0,19.25
311.0,22.0,89.05000305175781
312.0,43.0,115.0500030517578
313.0,5.0,69.3499984741211
314.0,5.0,80.5999984741211
315.0,51.0,110.0500030517578
316.0,71.0,19.899999618530277
317.0,38.0,80.30000305175781
318.0,24.0,93.1500015258789
319.0,35.0,91.5
320.0,54.0,82.44999694824219
321.0,72.0,60.0
322.0,1.0,44.79999923706055
323.0,9.0,48.59999847412109
324.0,69.0,60.04999923706055
325.0,52.0,102.6999969482422
326.0,11.0,82.9000015258789
327.0,2.0,70.3499984741211
328.0,28.0,35.900001525878906
329.0,17.0,82.6500015258789
330.0,35.0,19.850000381469727
331.0,8.0,19.200000762939453
332.0,46.0,94.9000015258789
333.0,7.0,73.8499984741211
334.0,2.0,80.5999984741211
335.0,68.0,75.80000305175781
336.0,43.0,104.5999984741211
337.0,68.0,88.1500015258789
338.0,36.0,94.8000030517578
339.0,63.0,103.4000015258789
340.0,32.0,54.650001525878906
341.0,71.0,85.75
342.0,66.0,67.44999694824219
343.0,63.0,20.5
344.0,41.0,20.25
345.0,1.0,72.0999984741211
346.0,2.0,90.4000015258789
347.0,70.0,19.450000762939453
348.0,23.0,44.95000076293945
349.0,64.0,97.0
350.0,37.0,62.79999923706055
351.0,17.0,44.59999847412109
352.0,7.0,89.1500015258789
353.0,4.0,84.80000305175781
354.0,21.0,41.900001525878906
355.0,10.0,80.25
356.0,16.0,54.09999847412109
357.0,64.0,105.25
358.0,27.0,30.75
359.0,42.0,97.0999984741211
360.0,5.0,20.200000762939453
361.0,41.0,98.8000030517578
362.0,58.0,50.29999923706055
363.0,47.0,20.549999237060547
364.0,18.0,75.9000015258789
365.0,5.0,96.5
366.0,23.0,59.95000076293945
367.0,1.0,19.149999618530277
368.0,71.0,98.6500015258789
369.0,72.0,112.5999984741211
370.0,33.0,20.600000381469727
371.0,2.0,85.6500015258789
372.0,24.0,35.75
373.0,56.0,99.75
374.0,37.0,96.0999984741211
375.0,43.0,85.0999984741211
376.0,1.0,25.350000381469727
377.0,25.0,104.9499969482422
378.0,61.0,89.6500015258789
379.0,17.0,86.75
380.0,41.0,86.19999694824219
381.0,1.0,50.650001525878906
382.0,72.0,64.80000305175781
383.0,1.0,90.8499984741211
384.0,48.0,108.0999984741211
385.0,11.0,19.950000762939453
386.0,55.0,85.44999694824219
387.0,42.0,54.75
388.0,44.0,90.4000015258789
389.0,1.0,44.0
390.0,27.0,95.5999984741211
391.0,27.0,84.80000305175781
392.0,2.0,44.29999923706055
393.0,19.0,19.899999618530277
394.0,42.0,95.0500030517578
395.0,66.0,90.05000305175781
396.0,33.0,109.9000015258789
397.0,34.0,73.94999694824219
398.0,33.0,54.59999847412109
399.0,23.0,20.049999237060547
400.0,32.0,19.75
401.0,11.0,20.049999237060547
402.0,69.0,99.4499969482422
403.0,68.0,55.900001525878906
404.0,20.0,19.700000762939453
405.0,72.0,19.799999237060547
406.0,60.0,95.4000015258789
407.0,32.0,93.9499969482422
408.0,1.0,19.899999618530277
409.0,1.0,19.600000381469727
410.0,3.0,81.3499984741211
411.0,46.0,24.450000762939453
412.0,29.0,74.94999694824219
413.0,51.0,87.3499984741211
414.0,48.0,70.6500015258789
415.0,16.0,73.25
416.0,70.0,98.6999969482422
417.0,40.0,24.799999237060547
418.0,22.0,83.30000305175781
419.0,1.0,75.30000305175781
420.0,5.0,24.299999237060547
421.0,7.0,69.8499984741211
422.0,29.0,100.5500030517578
423.0,44.0,25.700000762939453
424.0,10.0,40.70000076293945
425.0,55.0,51.650001525878906
426.0,52.0,105.0999984741211
427.0,10.0,85.94999694824219
428.0,18.0,75.5999984741211
429.0,68.0,58.25
430.0,61.0,19.399999618530277
431.0,72.0,65.19999694824219
432.0,2.0,53.45000076293945
433.0,12.0,45.400001525878906
434.0,41.0,19.75
435.0,26.0,44.45000076293945
436.0,36.0,20.850000381469727
437.0,72.0,114.0500030517578
438.0,35.0,89.8499984741211
439.0,1.0,55.04999923706055
440.0,16.0,112.9499969482422
441.0,49.0,101.5500030517578
442.0,54.0,114.6500015258789
443.0,18.0,64.80000305175781
444.0,36.0,80.4000015258789
445.0,60.0,105.9000015258789
446.0,1.0,69.55000305175781
447.0,52.0,25.049999237060547
448.0,8.0,94.75
449.0,72.0,105.5
450.0,64.0,24.700000762939453
451.0,22.0,69.75
452.0,60.0,60.20000076293945
453.0,28.0,81.05000305175781
454.0,61.0,24.399999618530277
455.0,24.0,104.1500015258789
456.0,28.0,92.9000015258789
457.0,30.0,80.80000305175781
458.0,2.0,20.0
459.0,1.0,75.0999984741211
460.0,6.0,19.649999618530277
461.0,24.0,69.44999694824219
462.0,4.0,101.1500015258789
463.0,7.0,99.8000030517578
464.0,72.0,116.0500030517578
465.0,70.0,40.04999923706055
466.0,64.0,102.0999984741211
467.0,72.0,89.69999694824219
468.0,44.0,19.899999618530277
469.0,13.0,55.95000076293945
470.0,17.0,20.649999618530277
471.0,1.0,55.0
472.0,9.0,70.05000305175781
473.0,24.0,53.59999847412109
474.0,1.0,74.69999694824219
475.0,24.0,80.25
476.0,35.0,76.05000305175781
477.0,7.0,75.69999694824219
478.0,5.0,96.0999984741211
479.0,15.0,69.0
480.0,11.0,19.649999618530277
481.0,48.0,45.29999923706055
482.0,20.0,81.44999694824219
483.0,72.0,108.5
484.0,8.0,83.55000305175781
485.0,72.0,84.5
486.0,15.0,100.1500015258789
487.0,72.0,88.5999984741211
488.0,0.0,52.54999923706055
489.0,1.0,74.3499984741211
490.0,63.0,104.8000030517578
491.0,2.0,59.0
492.0,2.0,74.4000015258789
493.0,61.0,64.05000305175781
494.0,1.0,20.399999618530277
495.0,22.0,43.75
496.0,28.0,60.900001525878906
497.0,70.0,19.799999237060547
498.0,5.0,28.450000762939453
499.0,12.0,99.6999969482422
500.0,34.0,116.25
501.0,71.0,80.69999694824219
502.0,70.0,65.19999694824219
503.0,52.0,84.05000305175781
504.0,69.0,79.44999694824219
505.0,20.0,94.0999984741211
506.0,11.0,78.0
507.0,2.0,94.1999969482422
508.0,6.0,80.5
509.0,1.0,19.850000381469727
510.0,20.0,94.3000030517578
511.0,61.0,106.4499969482422
512.0,5.0,74.3499984741211
513.0,56.0,105.4499969482422
514.0,30.0,95.0
515.0,40.0,104.8000030517578
516.0,28.0,54.29999923706055
517.0,5.0,70.05000305175781
518.0,27.0,75.19999694824219
519.0,12.0,20.049999237060547
520.0,67.0,105.4000015258789
521.0,29.0,51.59999847412109
522.0,55.0,85.5
523.0,23.0,75.5999984741211
524.0,34.0,100.0500030517578
525.0,52.0,91.25
526.0,72.0,115.75
527.0,58.0,94.6999969482422
528.0,35.0,19.600000381469727
529.0,56.0,99.9000015258789
530.0,24.0,21.100000381469727
531.0,70.0,20.049999237060547
532.0,2.0,79.94999694824219
533.0,68.0,107.1500015258789
534.0,1.0,85.0
535.0,12.0,89.55000305175781
536.0,63.0,81.55000305175781
537.0,33.0,58.45000076293945
538.0,69.0,95.6500015258789
539.0,60.0,80.5999984741211
540.0,72.0,113.0999984741211
541.0,11.0,58.95000076293945
542.0,1.0,19.549999237060547
543.0,10.0,86.05000305175781
544.0,13.0,45.54999923706055
545.0,34.0,78.94999694824219
546.0,39.0,86.30000305175781
547.0,65.0,105.0500030517578
548.0,50.0,101.9000015258789
549.0,15.0,19.75
550.0,72.0,110.3000030517578
551.0,72.0,115.5999984741211
552.0,55.0,19.350000381469727
553.0,23.0,25.600000381469727
554.0,32.0,80.3499984741211
555.0,56.0,68.75
556.0,1.0,19.899999618530277
557.0,38.0,70.5999984741211
558.0,11.0,70.19999694824219
559.0,1.0,49.29999923706055
560.0,56.0,107.25
561.0,3.0,23.600000381469727
562.0,7.0,69.69999694824219
563.0,59.0,99.5
564.0,7.0,64.30000305175781
565.0,71.0,70.8499984741211
566.0,15.0,101.9000015258789
567.0,71.0,73.5
568.0,35.0,100.25
569.0,11.0,40.400001525878906
570.0,60.0,19.25
571.0,47.0,59.59999847412109
572.0,11.0,64.9000015258789
573.0,56.0,100.3000030517578
574.0,28.0,110.8499984741211
575.0,61.0,81.05000305175781
576.0,31.0,98.0500030517578
577.0,9.0,70.5
578.0,35.0,94.5500030517578
579.0,2.0,19.649999618530277
580.0,12.0,19.0
581.0,1.0,75.30000305175781
582.0,4.0,89.19999694824219
583.0,1.0,19.0
584.0,3.0,20.0
585.0,1.0,85.69999694824219
586.0,52.0,63.25
587.0,5.0,20.100000381469727
588.0,72.0,99.1500015258789
589.0,71.0,90.4000015258789
590.0,72.0,111.9000015258789
591.0,46.0,24.899999618530277
592.0,63.0,83.5
593.0,30.0,84.30000305175781
594.0,1.0,45.59999847412109
595.0,12.0,61.650001525878906
596.0,16.0,54.84999847412109
597.0,4.0,65.55000305175781
598.0,51.0,90.3499984741211
599.0,65.0,20.399999618530277
600.0,16.0,74.55000305175781
601.0,2.0,19.950000762939453
602.0,66.0,74.25
603.0,46.0,108.6500015258789
604.0,32.0,109.5500030517578
605.0,72.0,86.6500015258789
606.0,38.0,81.0
607.0,51.0,47.84999847412109
608.0,72.0,114.5500030517578
609.0,65.0,105.25
610.0,9.0,29.950000762939453
611.0,9.0,65.0
612.0,66.0,20.549999237060547
613.0,44.0,109.8000030517578
614.0,50.0,69.5
615.0,15.0,48.84999847412109
616.0,8.0,25.25
617.0,66.0,102.8499984741211
618.0,57.0,87.55000305175781
619.0,7.0,78.55000305175781
620.0,10.0,34.54999923706055
621.0,62.0,92.0500030517578
622.0,40.0,85.05000305175781
623.0,20.0,19.700000762939453
624.0,7.0,20.0
625.0,25.0,95.1500015258789
626.0,23.0,84.25
627.0,66.0,104.5999984741211
628.0,72.0,111.6500015258789
629.0,49.0,90.05000305175781
630.0,43.0,110.75
631.0,46.0,55.0
632.0,72.0,89.8499984741211
633.0,10.0,20.350000381469727
634.0,40.0,54.54999923706055
635.0,65.0,105.5
636.0,31.0,99.4499969482422
637.0,68.0,70.9000015258789
638.0,56.0,104.5500030517578
639.0,10.0,85.25
640.0,68.0,25.399999618530277
641.0,43.0,56.150001525878906
642.0,1.0,89.55000305175781
643.0,49.0,89.8499984741211
644.0,15.0,25.25
645.0,20.0,94.5500030517578
646.0,1.0,45.70000076293945
647.0,50.0,69.6500015258789
648.0,2.0,89.5
649.0,24.0,70.0
650.0,3.0,69.55000305175781
651.0,1.0,74.5999984741211
652.0,35.0,20.100000381469727
653.0,17.0,24.799999237060547
654.0,8.0,19.649999618530277
655.0,10.0,95.0999984741211
656.0,68.0,88.8499984741211
657.0,45.0,78.80000305175781
658.0,2.0,19.850000381469727
659.0,37.0,20.350000381469727
660.0,4.0,24.25
661.0,10.0,45.25
662.0,1.0,20.049999237060547
663.0,65.0,69.55000305175781
664.0,57.0,19.5
665.0,3.0,74.75
666.0,2.0,69.6500015258789
667.0,49.0,30.200000762939453
668.0,4.0,45.650001525878906
669.0,70.0,57.79999923706055
670.0,53.0,19.850000381469727
671.0,53.0,25.549999237060547
672.0,1.0,75.05000305175781
673.0,22.0,24.850000381469727
674.0,52.0,49.150001525878906
675.0,65.0,110.3499984741211
676.0,48.0,24.549999237060547
677.0,2.0,34.70000076293945
678.0,3.0,107.9499969482422
679.0,45.0,81.4000015258789
680.0,1.0,80.0
681.0,61.0,73.80000305175781
682.0,3.0,64.4000015258789
683.0,40.0,103.75
684.0,1.0,71.0999984741211
685.0,1.0,49.900001525878906
686.0,51.0,24.600000381469727
687.0,2.0,49.25
688.0,52.0,30.100000381469727
689.0,51.0,83.4000015258789
690.0,1.0,20.450000762939453
691.0,31.0,75.25
692.0,47.0,20.549999237060547
693.0,3.0,75.0999984741211
694.0,22.0,20.049999237060547
695.0,1.0,20.649999618530277
696.0,72.0,85.1500015258789
697.0,3.0,50.150001525878906
698.0,47.0,84.94999694824219
699.0,72.0,66.5
700.0,66.0,63.29999923706055
701.0,35.0,83.1500015258789
702.0,29.0,84.9000015258789
703.0,2.0,20.549999237060547
704.0,4.0,49.25
705.0,25.0,79.8499984741211
706.0,65.0,59.59999847412109
707.0,27.0,104.6500015258789
708.0,29.0,75.30000305175781
709.0,29.0,80.0999984741211
710.0,1.0,19.549999237060547
711.0,20.0,81.0
712.0,58.0,24.700000762939453
713.0,14.0,86.0
714.0,72.0,25.399999618530277
715.0,46.0,89.1500015258789
716.0,71.0,58.25
717.0,32.0,85.6500015258789
718.0,26.0,50.34999847412109
719.0,68.0,80.3499984741211
720.0,2.0,20.200000762939453
721.0,61.0,20.549999237060547
722.0,4.0,85.94999694824219
723.0,3.0,45.34999847412109
724.0,33.0,94.5
725.0,9.0,21.25
726.0,22.0,26.25
727.0,5.0,80.8499984741211
728.0,30.0,91.6999969482422
729.0,65.0,74.19999694824219
730.0,45.0,87.25
731.0,5.0,20.350000381469727
732.0,25.0,75.5
733.0,72.0,79.05000305175781
734.0,27.0,90.1500015258789
735.0,32.0,50.59999847412109
736.0,30.0,110.4499969482422
737.0,70.0,101.0
738.0,42.0,79.3499984741211
739.0,72.0,89.8499984741211
740.0,47.0,65.0
741.0,2.0,80.44999694824219
742.0,10.0,98.5500030517578
743.0,61.0,24.100000381469727
744.0,5.0,44.04999923706055
745.0,72.0,110.8000030517578
746.0,72.0,114.9499969482422
747.0,3.0,75.05000305175781
748.0,48.0,19.25
749.0,63.0,90.05000305175781
750.0,27.0,56.70000076293945
751.0,70.0,80.1500015258789
752.0,7.0,71.3499984741211
753.0,0.0,20.25
754.0,2.0,90.3499984741211
755.0,20.0,98.5500030517578
756.0,66.0,19.700000762939453
757.0,3.0,19.850000381469727
758.0,15.0,85.9000015258789
759.0,72.0,90.3499984741211
760.0,1.0,20.799999237060547
761.0,22.0,89.25
762.0,3.0,70.30000305175781
763.0,72.0,66.8499984741211
764.0,65.0,19.899999618530277
765.0,11.0,35.79999923706055
766.0,22.0,78.8499984741211
767.0,14.0,20.399999618530277
768.0,41.0,74.25
769.0,17.0,64.80000305175781
770.0,11.0,20.450000762939453
771.0,15.0,93.3499984741211
772.0,1.0,19.899999618530277
773.0,5.0,88.9000015258789
774.0,33.0,95.8000030517578
775.0,72.0,110.6500015258789
776.0,3.0,40.29999923706055
777.0,2.0,82.0
778.0,59.0,107.0
779.0,2.0,45.34999847412109
780.0,71.0,73.3499984741211
781.0,5.0,44.79999923706055
782.0,27.0,54.75
783.0,1.0,52.20000076293945
784.0,63.0,40.59999847412109
785.0,46.0,110.0
786.0,72.0,55.29999923706055
787.0,34.0,60.84999847412109
788.0,24.0,78.4000015258789
789.0,72.0,69.6500015258789
790.0,60.0,59.84999847412109
791.0,68.0,76.9000015258789
792.0,8.0,19.850000381469727
793.0,34.0,67.6500015258789
794.0,6.0,45.0
795.0,2.0,64.19999694824219
796.0,31.0,81.69999694824219
797.0,20.0,25.549999237060547
798.0,1.0,20.0
799.0,62.0,96.75
800.0,70.0,75.6500015258789
801.0,10.0,98.5
802.0,39.0,23.799999237060547
803.0,46.0,64.19999694824219
804.0,6.0,85.3499984741211
805.0,72.0,76.80000305175781
806.0,18.0,55.20000076293945
807.0,71.0,108.5500030517578
808.0,40.0,101.3000030517578
809.0,1.0,69.55000305175781
810.0,58.0,103.25
811.0,70.0,104.0
812.0,42.0,25.25
813.0,34.0,30.399999618530277
814.0,5.0,20.049999237060547
815.0,25.0,84.5999984741211
816.0,2.0,86.19999694824219
817.0,55.0,103.6999969482422
818.0,21.0,111.1999969482422
819.0,70.0,88.0
820.0,61.0,106.3499984741211
821.0,43.0,79.1500015258789
822.0,47.0,103.0999984741211
823.0,5.0,63.95000076293945
824.0,62.0,25.799999237060547
825.0,16.0,89.44999694824219
826.0,7.0,95.5999984741211
827.0,14.0,25.549999237060547
828.0,60.0,90.9499969482422
829.0,34.0,44.84999847412109
830.0,50.0,108.5500030517578
831.0,38.0,25.049999237060547
832.0,70.0,74.0999984741211
833.0,37.0,88.80000305175781
834.0,4.0,78.8499984741211
835.0,60.0,93.25
836.0,62.0,71.4000015258789
837.0,1.0,44.400001525878906
838.0,36.0,79.19999694824219
839.0,44.0,20.399999618530277
840.0,55.0,100.0
841.0,72.0,105.0
842.0,12.0,19.799999237060547
843.0,13.0,30.850000381469727
844.0,1.0,89.9000015258789
845.0,15.0,20.549999237060547
846.0,65.0,84.8499984741211
847.0,12.0,33.150001525878906
848.0,72.0,92.0
849.0,72.0,89.80000305175781
850.0,72.0,115.8000030517578
851.0,52.0,85.1500015258789
852.0,2.0,24.850000381469727
853.0,5.0,64.3499984741211
854.0,68.0,20.5
855.0,62.0,100.1500015258789
856.0,72.0,86.05000305175781
857.0,1.0,50.79999923706055
858.0,66.0,89.0
859.0,72.0,64.80000305175781
860.0,26.0,19.799999237060547
861.0,64.0,93.4000015258789
862.0,20.0,73.6500015258789
863.0,3.0,95.0999984741211
864.0,22.0,94.6500015258789
865.0,4.0,80.5999984741211
866.0,62.0,39.0
867.0,5.0,20.5
868.0,59.0,85.55000305175781
869.0,3.0,26.399999618530277
870.0,72.0,98.1999969482422
871.0,57.0,97.5500030517578
872.0,66.0,19.950000762939453
873.0,60.0,50.79999923706055
874.0,45.0,99.6999969482422
875.0,3.0,34.79999923706055
876.0,15.0,105.0999984741211
877.0,51.0,60.150001525878906
878.0,60.0,64.75
879.0,33.0,54.650001525878906
880.0,10.0,110.0999984741211
881.0,26.0,19.299999237060547
882.0,6.0,83.9000015258789
883.0,67.0,111.25
884.0,49.0,35.79999923706055
885.0,1.0,20.049999237060547
886.0,7.0,84.3499984741211
887.0,27.0,110.5
888.0,37.0,91.1999969482422
889.0,63.0,100.5500030517578
890.0,31.0,89.30000305175781
891.0,50.0,103.8499984741211
892.0,32.0,81.0999984741211
893.0,1.0,24.600000381469727
894.0,63.0,81.19999694824219
895.0,30.0,94.3000030517578
896.0,71.0,116.0999984741211
897.0,53.0,105.5500030517578
898.0,12.0,98.9000015258789
899.0,50.0,94.4000015258789
900.0,2.0,19.5
901.0,9.0,98.3000030517578
902.0,17.0,93.8499984741211
903.0,56.0,105.5999984741211
904.0,67.0,81.3499984741211
905.0,9.0,100.5
906.0,4.0,56.400001525878906
907.0,19.0,65.3499984741211
908.0,8.0,19.950000762939453
909.0,71.0,111.25
910.0,10.0,72.8499984741211
911.0,15.0,89.0
912.0,72.0,106.0999984741211
913.0,12.0,20.049999237060547
914.0,72.0,25.200000762939453
915.0,1.0,73.55000305175781
